,,277,47,85,250,130,當季精選,Specialty,青仁黑豆茶, Black Bean,-,-,,,,,,,
'圓石' October, 2014,322,54,95,315,165,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  Ecx(Q1&Q2),Kochere Ecx(Q1&Q2),日曬,Natural,   G3,熱帶水果、藍莓、花香、杏仁、蜂蜜香氣、柔軟葡萄及柳橙香氣、風味乾淨而口感圓潤多汁、莓果及太妃糖尾韻,,,,,
'圓石' October, 2014,267,45,80,285,150,巴布亞新幾內亞,Papua New Guinea,拉馬俐河谷 ,Lamari Valley ,水洗,Washed,A/X ,,,,,,
'圓石' October, 2014,247,42,75,275,145,宏都拉斯,Honduras,錫瓜特佩克合作社  獵豹,Siguatepeque El Jaguar ,水洗,Washed,,香料、薄荷牛奶、玉米甜、堅果、焦糖、口感輕順溫和。,,,,,
'聯傑' November, 2014  ,422,71,120,390,200,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe, 維娜果,Wanago,日曬 ,Natural,G1,紅茶、黑葡萄、甜櫻桃、柑橘皮、烤焦糖、花朵、厚實、酸度豐富、輕柔糖漿口感。,,,,,
'聯傑' November, 2014  ,342,57,100,325,170,哥斯大黎加,Costa Rica,奧斯卡小金人處理廠,Don Oscar Volfa Lot#18 ,水洗,Washed,G1,烤麵包、榛果、紅糖、香料、檸檬水、明亮果酸。,,,,,
'聯傑' December, 2014  ,382,64,110,370,190,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,沃特孔家  皇家特選,Wote Konga,日曬,Natural,   G1,花香、李子、橘子皮、酸度活潑、味道飽滿、豐富的橙色水果調、巧克力。,,,,,
'聯傑' December, 2014  ,352,59,100,330,170,瓜地馬拉,Guatemala ,安提瓜火山  花神  貝拉卡摩娜,Antigua Bella Carmona,水洗,Washed,,溫帶水果、蘋果清香、堅果、奶油、焦糖  甜檸檬、甜感圓潤。,,,,,
'聯傑' December, 2014  ,332,56,95,320,165,哥倫比亞,Colombia ,薇拉高原  艾利雅鎮  1850M,South Huila Elias,水洗,Washed,,青蘋果、草香、核桃、焦糖、輕快的酸度、輕甜的口感、餘韻細緻。,,,,,
'聯傑' December, 2014  ,362,61,105,360,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,金蕾娜安巴雅, Gelana Abaya  ,日曬,Natural,   G1,花香、藍莓、清爽細緻的莓果香甜、乳脂滑順、果酸線條乾淨細膩。,,,,,
'聯傑' December, 2014  ,272,46,80,290,150,巴拿馬,Panama,巴魯火山  凱薩路易斯 波奎特,Boquete Casa Ruiz Especial,水洗,Washed,,堅果、開心果、焦糖、烤焙的木質芳香、低酸紮實。,,,,,
'聯傑' November, 2014  ,362,61,105,360,185,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,潔蒂普鎮  可可娜, Gedeb Kokanna,水洗,Washed,G1,花香、茉莉氣息、檸檬特色鮮明、柑橘橙果類甜感、乾淨均衡感佳、大吉嶺紅茶尾韻,,,,,
'圓石' December, 2014,309,52,90,305,160,盧安達,Rwanda,基輔湖  穆修伊, Mushonyi Lake Kivu,水洗,Washed,,入口時帶黃金奇異果的酸感，中段帶點養樂多、水梨、蘋果酸甜味，果香、層次豐富，清新明亮,,,,,
'圓石' December, 2014,459,77,130,405,210,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,陽光/江壩,Janbar,日曬,Natural,   G1,熱帶水果、椰子芒果荔枝、柑橘、花香、百香果,,,,,
'圓石' January, 2015,302,51,90,330,170,衣索比亞 耶加雪啡,Ethiopia Yirgacheffe,科契爾  Ecx(Q1&Q2),Kochere Ecx(Q1&Q2),日曬,Natural,   G3,熱帶水果、藍莓、花香、杏仁、蜂蜜香氣、柔軟葡萄及柳橙香氣、風味乾淨而口感圓潤多汁、莓果及太妃糖尾韻,,,,,
'圓石' January, 2015,372,62,105,355,185,肯亞,Kenya,冽里  特鼓,Nyeri Tegu,水洗,Washed,AB,黑醋栗、蔓越莓、哈蜜瓜、熟櫻桃、柳橙。,,,,,
'聯傑' March, 2015,352,59,100,330,170,瓜地馬拉,Guatemala ,安提瓜火山  花神  貝拉卡摩娜,Antigua Bella Carmona,水洗,Washed,,溫帶水果、蘋果清香、堅果、奶油、焦糖  甜檸檬、甜感圓潤。,,,,,
'圓石' January, 2015,327,55,95,315,165,瓜地馬拉,Guatemala ,微微特南果  歐規  新霸主,Huehuetenango Xinabajul Bannil Kappe,水洗,Washed,,葡萄柚、白葡萄、焦糖、茉莉蜜茶感、質感乾淨圓潤。,,,,,
